genre,title,content
Aさん　→ ブランチA
Bさん　→ ブランチB
## ローカルリポジトリとリモートリポジトリ
前述でGitのバージョン管理下にある場所をリポジトリというというお話をしました。
その中でも、ネットを介してどこからでも利用できるようにしたリポジトリのことをリモートリポジトリと言います。
それとは逆に、自分のパソコン内にあるリポジトリのことろローカルリポジトリと言います。
複数人での開発を行うときは、リモートリポジトリを複数のプログラマーで共有し、そのリモートリポジトリのクローンをそれぞれのプログラマーがローカルリポジトリにコピーして開発を行うというスタイルになります。
これによって、１つのプロジェクトを複数人で開発することが可能になるわけです。
## バージョン管理の流れ
Gitでのバージョン管理は基本的に以下のような流れになります。
- ローカルリポジトリの作成（git init）
- 変更ファイルをインデックスにあげる（git add）
- 変更履歴を保存する（git commit）
## 今回使用するサンプル
今回は、Hello World!!と表示する単純なHTMLファイルを利用して、Gitの使い方を学んでいきましょう。
`git_sample`というディレクトリを作成し、テキストエディタで`git_sample.html`というファイルを作成しましょう。
まずは、サンプルファイルを置くための`git_sample`ディレクトリをターミナルから作成しましょう。
```
mkdir git_sample
```
ディレクトリが作成できたら、cdコマンドで`git_sample`ディレクトリに移動しましょう。
```
cd git_sample
```
ディレクトリに移動できたら、`git_sample.html`を作成します。
ファイルに関しては、テキストエディタから作成してもいいのですが、ターミナルから作成することも可能です。
その際は、`touch`コマンドを使用します。`git_sample.html`という名前のファイルを作成する場合は、以下のコマンドを実行しましょう。
```
touch git_sample.html
```
これで、Gitの練習をする準備が整いました。それではさっそく、Gitコマンドについて学んでいきましょう。
## Gitをインストールする
Gitをパソコンで使用できるようにするためには、まずはインストールを行わなければいけません。
そのGitをインストールするためには、Homebrewというパッケージ管理ツールを使用すると楽なので、まずはHomebrewからインストールしましょう。
以下のコマンドをターミナルにコピー&ペーストして実行してください。それだけで、Homebrewがインストールできます。
```
/usr/bin/ruby -e ""$(curl -fsSL https://raw.githubusercontent.com/Homebrew/install/master/install)""
```
Homebrewのインストールが終わったら、以下のコマンドをターミナルに入力し、Homebrewを使用してGitをインストールします。
```
brew install git
```
インストールが完了したら、いよいよGitを利用したバージョン管理の方法について学んでいきます。なんども基礎を繰り返し、バージョン管理のスキルをしっかりと身につけていきましょう！
## ローカルリポジトリを作る
cdコマンドを利用してローカルリポジトリを作成したいディレクトリに移動できたら、`git init`というコマンドを実行します。
このコマンドで、ディレクトリ内に中身が空のローカルリポジトリを作成します。また、すでにリポジトリが存在している場合には、再度`git init`を実行する必要はありません。
```
git init
```
`ls`コマンドを入力し、gitのリポジトリができていることを確認しましょう。
以下のように.Gitというディレクトリが作成されて入れば成功です。
```
ls -la
```
## サンプルを編集する
それでは、先ほど作成した`git_sample.html`の内容を変更しましょう。以下のコードを追加してください。
```
<h1>Hello World!!</h1>
```
以上のように変更できたら、次はその変更履歴を`Git`を使用して保存します。
## ファイルをインデックスに登録する
`git init`実行後、現在作成したファイルの変更履歴を保存するために`git add .`を実行します。
このコマンドは、現在開発しているプロジェクトの中で変更があったファイルを見つけてインデックスに上げ、変更履歴を保存するための準備をしてくれます。
要するに、「変更した全てのファイル」を「Gitによってバージョン管理するための対象」に入れるということです。それでは、`git add .`を実行しましょう。
```
git add .
```
ちなみに、`git add .`は変更したファイルをまとめてインデックスにあげるためのコマンドになります。
そのほかにも、特定のファイルのみをインデックスに上げるコマンドもあります。
その場合は、`git add ファイル名`コマンドを実行します。
例） sample.rbというファイルのみをインデックスに上げる場合のコマンド
```
git add sample.rb
```
## 変更履歴を保存する
変更履歴を保存するには、`commit`というコマンドを実行します。
このコマンドを実行すると、ローカルリポジトリの変更内容を保存します。
また、`commit`を実行する際には`git add`において変更済みのファイルがインデックスにあることが必須となります。
もし変更済みのファイルがインデックスにない場合は、`commit`するものが無いというメッセージが表示されます。
```
nothing to commit, working tree clean
```
`commit`を実行する際は、以下のコマンドを入力します。`-m`や`--message`オプションをつけることによって、コミットに対するコメントを残すことができます。
これにより、各コミットにおいてどのような変更が行われたのかを把握しやすくすることができます。
```
git commit -m ""init commit""
```
## コミットまでの流れのおさらい
それでは、ファイルを変更してからコミットするまでの流れを改めておさらいしましょう。
先ほど作成した`git_sample.html`の内容を以下のように変更しましょう。
```
<h1>Good morning!!</h1>
```
変更したファイルをインデックスに登録します。
```
git add .
```
インデックスに登録したファイルをコミットします。
```
git commit -m ""change message""
```
これで、ファイルを変更してからコミットまでの一連の流れが終了です。
 `git add` を実行してから `git commit` という流れをなんども繰り返して体に覚えさせるようにしましょう。
## 変更履歴のメッセージを修正する
コミットメッセージを修正したい時には、以下のコマンドを実行します。
```
git rebase -i HEAD^
```
それでは、過去のコミットメッセージを変更してみましょう。
まずは、過去のコミットメッセージを確認してください。
```
git log
```
そうすると、過去のコミット一覧が表示され、それに対応するコミットメッセージも確認できます。
```
change message
```
今回は、`change message`というメッセージを`change hello to good morning`に変更しましょう。
それではさっそく、以下のコマンドを実行してください。
```
git rebase -i HEAD^
```
そうすると、以下のような画面が表示されます。
```
pick 65e1b59 change message
# Rebase d9a2c59..65e1b59 onto d9a2c59 (1 command)
#
# Commands:
# p, pick = use commit
# r, reword = use commit, but edit the commit message
# e, edit = use commit, but stop for amending
# s, squash = use commit, but meld into previous commit
# f, fixup = like ""squash"", but discard this commit's log message
# x, exec = run command (the rest of the line) using shell
# d, drop = remove commit
#
# These lines can be re-ordered; they are executed from top to bottom.
#
# If you remove a line here THAT COMMIT WILL BE LOST.
#
# However, if you remove everything, the rebase will be aborted.
#
# Note that empty commits are commented out
~
~
~
""~/git_sample/.git/rebase-merge/git-rebase-todo"" 20L, 680C
```
その表示の中で、一番上に書かれている`pick`の部分を`r`に変更するとコミットメッセージを編集することができます。
その際、`i`を押して表示を`INSERT`モードに切り替えてください。そうすると、以下のように画面の一覧下に`INSERT`という文字が表示されます
```
pick 65e1b59 change message
# Rebase d9a2c59..65e1b59 onto d9a2c59 (1 command)
#
# Commands:
# p, pick = use commit
# r, reword = use commit, but edit the commit message
# e, edit = use commit, but stop for amending
# s, squash = use commit, but meld into previous commit
# f, fixup = like ""squash"", but discard this commit's log message
# x, exec = run command (the rest of the line) using shell
# d, drop = remove commit
#
# These lines can be re-ordered; they are executed from top to bottom.
#
# If you remove a line here THAT COMMIT WILL BE LOST.
#
# However, if you remove everything, the rebase will be aborted.
#
# Note that empty commits are commented out
~
~
~
-- INSERT --
```
`INSERT`が表示されたら、`pick`の部分を`r`に書き換えましょう。
```
r 65e1b59 change message
# Rebase d9a2c59..65e1b59 onto d9a2c59 (1 command)
#
# Commands:
# p, pick = use commit
# r, reword = use commit, but edit the commit message
# e, edit = use commit, but stop for amending
# s, squash = use commit, but meld into previous commit
# f, fixup = like ""squash"", but discard this commit's log message
# x, exec = run command (the rest of the line) using shell
# d, drop = remove commit
#
# These lines can be re-ordered; they are executed from top to bottom.
#
# If you remove a line here THAT COMMIT WILL BE LOST.
#
# However, if you remove everything, the rebase will be aborted.
#
# Note that empty commits are commented out
~
~
~
""~/git_sample/.git/rebase-merge/git-rebase-todo"" 20L, 680C
```
書き換えられたら、キーボードの左上にある`esc`を押し、`:wq`で上書き保存します。そうすると、次にコミットメッセージが表示されます。
```
chnage message
# Please enter the commit message for your changes. Lines starting
# with '#' will be ignored, and an empty message aborts the commit.
#
# Date:      Mon Sep 10 12:58:07 2018 +0900
#
# interactive rebase in progress; onto d9a2c59
# Last command done (1 command done):
#    r 65e1b59 change hello to good morning
# No commands remaining.
# You are currently editing a commit while rebasing branch 'master' on 'd9a2c59'.
#
# Changes to be committed:
#       renamed:    .git_sample.rb.swp -> .git_sample.rb.swo
#       modified:   git_sample.rb
#
~
~
~
~
~
~
""~/git_sample/.git/COMMIT_EDITMSG"" 17L, 563C
```
コミットメッセージが確認できたら、`i`をクリックして`INSERT`モードに切り替え、コミットメッセージを変更します。
```
change hello to good morning
# Please enter the commit message for your changes. Lines starting
# with '#' will be ignored, and an empty message aborts the commit.
#
# Date:      Mon Sep 10 12:58:07 2018 +0900
#
# interactive rebase in progress; onto d9a2c59
# Last command done (1 command done):
#    r 65e1b59 change hello to good morning
# No commands remaining.
# You are currently editing a commit while rebasing branch 'master' on 'd9a2c59'.
#
# Changes to be committed:
#       renamed:    .git_sample.rb.swp -> .git_sample.rb.swo
#       modified:   git_sample.rb
#
~
~
~
~
~
~
""~/git_sample/.git/COMMIT_EDITMSG"" 17L, 563C
```
メッセージが変更できたら、`esc`を押し、`:wq`で変更内容を保存しましょう。そのあと、以下のコマンドを入力してコミットメッセージが変更されていることを確認してください。
以上で、コミットメッセージの変更は終了です。
## ブランチを作成する
ブランチとは、複数の開発を同時並行して行うために必要な仕組みです。
変更履歴の管理を分岐させることによって、各プログラマーで別々の機能を実装する事ができます。「ブランチ」という名前の通り、開発を枝分かれさせるという事ですね。そのブランチを作成するには、以下のコマンドを実行します。
ブランチは、他のブランチに合体（マージ）させる事で、一つにまとめる事ができます。
`master`と呼ばれるブランチが存在し、開発用に分岐させた他のブランチは、最終的にこの`master`にマージさせるというのが、一般的な開発の流れです。
```
git branch ブランチ名
```
`git branch`の後ろに任意のブランチ名をつける事によって、その名前で新しいブランチを作り出す事ができます。
例えば、`sample`という名前のブランチを作成したいときは、以下のようにコマンドを入力します。
```
git branch sample
```
現在存在するブランチを確認したい場合は、`git branch`を実行するだけで大丈夫です。
```
git branch
```
新しくブランチを作成し切り替えるコマンドは以下の通りです。
```
git checkout -b sample
```
## ブランチを切り替える
ブランチが作成できたら、つぎにその切り替え方を学んでいきましょう。現在、`git branch`を実行すると以下のような表示がされるかと思います。
```
* sample
  master
```
その状態で、`git_sample.html`の内容を以下のように編集してみましょう。
```
<h1>こんにちは！！</h1>
```
上記のようにコードを変更できたら、次はその変更履歴を保存します。
これまでの一連の流れを、ここで改めて確認しましょう。
変更したファイルをインデックスにあげる
```
git add .
```
変更履歴を保存する
```
git commit -m ""changed english to japanese""
```
変更履歴が保存できたら、
## ブランチをマージする（ローカルで完結）
開発が完了したブランチを他のブランチに合体することをマージと言います。
今回は、`sample`ブランチから`master`ブランチへマージする例を見て見ましょう。
まず、今存在しているブランチを確かめます。
```
git branch
```
出力結果
```
* sample
  master
```
`sample`ブランチから、`master`ブランチへと切り替えます。その際、使用するコマンドは`checkout`です。
```
git checkout maste...
